== build generator & input ==
== reference sum (exact) ==
expected = 53687387166542798
== bandwidth floor (f(n)=n target) ==
floor (cat > /dev/null) = 0.5460s min / 0.6570s median  <- champion should approach this
== build variants ==
== timing (interleaved, RUNS=3) ==
== test + benchmark ==
NAME                     RESULT             BEST(s)   MED(s)    JITTER    STATUS
    33	0.0930 variants/dp2_8s_fw_t0_2048
    34	0.0930 variants/dp2_8s_fw_t0_4096
    35	0.0930 variants/dp2_8s_pf3072_32
    36	0.0930 variants/dp2_8s_pf4096_double
    37	0.0930 variants/dp2_8s_t2_4096
    38	0.0930 variants/dp2_pf4
    39	0.0940 variants/dp2_8s_fixed_2048
    40	0.0940 variants/dp2_8s_fixed_widen
    41	0.0940 variants/dp2_8s_fw_2w
    42	0.0940 variants/dp2_8s_fw_3072_64
    43	0.0940 variants/dp2_8s_fw_4096_32
    44	0.0940 variants/dp2_8s_fw_4acc_3072_32
    45	0.0940 variants/dp2_8s_fw_4acc_t0_128_3072
    46	0.0940 variants/dp2_8s_fw_4acc_t0_256_2048
    47	0.0940 variants/dp2_8s_fw_4acc_t0_512_7168
    48	0.0940 variants/dp2_8s_fw_4acc_t0_64_768
    49	0.0940 variants/dp2_8s_fw_t0_64_3072
    50	0.0940 variants/dp2_8s_fw_t0_96_1536
    51	0.0940 variants/dp2_8s_fw_wide400
    52	0.0940 variants/dp2_8s_itercount
    53	0.0940 variants/dp2_8s_pf2048
    54	0.0940 variants/dp2_8s_pf4096
    55	0.0940 variants/dp2_8s_pf8192
    56	0.0940 variants/dp2_8s_pf_double
    57	0.0950 variants/dp2_8s_4acc
    58	0.0950 variants/dp2_8s_fixed_3072
    59	0.0950 variants/dp2_8s_fw_4acc_2048_32
    60	0.0950 variants/dp2_8s_fw_4acc_t0_512_4096
    61	0.0950 variants/dp2_8s_fw_pf512_only
    62	0.0950 variants/dp2_8s_fw_t0_3072_32
    63	0.0950 variants/dp2_8s_pf1024
    64	0.0950 variants/dp2_8s_pf2560
    65	0.0950 variants/dp2_8s_pf3072
    66	0.0950 variants/dp2_8s_pf4096_32
    67	0.0950 variants/dp2_8s_pf512
    68	0.0950 variants/dp2_8s_pf6144
    69	0.0950 variants/dp2_8s_triple_pair
    70	0.0950 variants/dp2_8s_twoaccum
    71	0.0950 variants/dp2_8s_unify_stop
    72	0.0950 variants/dp2_8stream
    73	0.0960 variants/dp2_8s_fw_2048_32
    74	0.0960 variants/dp2_8s_fw_4acc_t0_64_512
    75	0.0960 variants/dp2_8s_stop_pf3072
    76	0.0970 variants/dp2_8s_fw_3tier
    77	0.0970 variants/dp2_8s_fw_il
    78	0.0970 variants/dp2_8s_fw_t2_t1
    79	0.0990 variants/dp2_8s_2w_fixed
    80	0.1000 variants/stuchlik_dp2
    81	0.1010 variants/dp2_12s_pf3072
    82	0.1010 variants/dp2_acc2
    83	0.1030 variants/dp2_8s_2w
    84	0.1070 variants/dp2_8s_avx512_nl
    85	0.1070 variants/dp2_8s_fw_interleaved
    86	0.1110 variants/dp2_8s_nopf
    87	0.1220 variants/dp2_8s_interleaved
    88	0.1660 variants/dp2_8s_fw_nta
    89	0.2100 variants/avx2_mmap_shared
    90	0.2110 variants/avx2_8w_pf3_i_cnt3
    91	0.2130 variants/avx2_8w_pf3_regbase_cnt3
    92	0.2140 variants/avx2_hugepage_collapse
    93	0.2160 variants/avx2_8w_pf1_i_cnt3
    94	0.2160 variants/avx2_cnt12
    95	0.2160 variants/avx2_pdep
    96	0.2180 variants/avx2_8w_pf3_regbase_cnt12
    97	0.2180 variants/mmap_locked
    98	0.2200 variants/avx2_8w_pf3_interleaved
    99	0.2210 variants/avx2_8w_pf4_i
   100	0.2210 variants/avx2_parse_quad
   101	0.2220 variants/avx2_8w_pf_t0
   102	0.2220 variants/avx2_dual_cnt12
   103	0.2230 variants/avx2_8w_pf3
   104	0.2230 variants/avx2_8w_pf3_regbase
   105	0.2240 variants/avx2_16w_pf3
   106	0.2240 variants/avx2_8w_pf
   107	0.2240 variants/avx2_8w_pf5
   108	0.2240 variants/avx2_cnt6only
   109	0.2260 variants/avx2_4stream_x
   110	0.2260 variants/avx2_8w_pf12
   111	0.2260 variants/avx2_8w_pf3_clzbase
   112	0.2260 variants/avx2_8w_pf3_i2
   113	0.2260 variants/avx2_cnt8910
   114	0.2270 variants/avx2_6window
   115	0.2270 variants/avx2_8w_pf4
   116	0.2270 variants/avx2_8w_pf_dual
   117	0.2270 variants/avx2_quad_window
   118	0.2280 variants/avx2_4stream
   119	0.2290 variants/avx2_8w_pf1
   120	0.2290 variants/avx2_8w_pf2_i
   121	0.2290 variants/avx2_8w_pf_half
   122	0.2300 variants/avx2_5window
   123	0.2310 variants/avx2_12w_pf3
   124	0.2310 variants/avx2_clzbase
   125	0.2310 variants/stuchlik_8stream
   126	0.2320 variants/avx2_8w_i_nopf
   127	0.2320 variants/avx2_8w_nta
   128	0.2340 variants/avx2_cnt12_switch
   129	0.2340 variants/avx2_directload
   130	0.2340 variants/avx2_dual_window
   131	0.2350 variants/avx2_7window
   132	0.2350 variants/avx2_forceinline
   133	0.2400 variants/avx2_triple_window
   134	0.2410 variants/avx2_8window
   135	0.2420 variants/avx2_vhigh
   136	0.2420 variants/rust_avx2
   137	0.2460 variants/avx2_12window
   138	0.2490 variants/avx512_nl_8w
   139	0.2500 variants/avx2_16window
   140	0.2590 variants/avx2_maddubs
   141	0.2600 variants/avx2_nohadd
   142	0.2630 variants/avx2_nohadd47
   143	0.2740 variants/avx512_8w_parse6
   144	0.2780 variants/avx512_cnt47
   145	0.2840 variants/avx512_maddubs
   146	0.2860 variants/avx2_w128
   147	0.2910 variants/avx512_parse_oct
   148	0.3020 variants/avx2_fastload
   149	0.3260 variants/avx2_parse3
   150	0.3310 variants/avx2_unroll
   151	0.3400 variants/avx2_64b
   152	0.3630 variants/avx2_blockparse
   153	0.3940 variants/avx512_blockparse
   154	0.4290 variants/avx2_cmov
   155	0.4320 variants/swar_unroll2
   156	0.4460 variants/swar_branchless
   157	0.5510 variants/swar_prefetch
   158	0.5710 variants/read_thp
   159	0.5860 variants/read_loop
   160	0.5920 variants/swar_noreload
   161	0.5940 variants/swar_nlfind
   162	0.6080 variants/stuchlik_digitplace
   163	0.6800 variants/swar_blockparse
   164	0.9660 variants/memchr

== promotion gate ==
champion best 0.0920s is within 2× of floor 0.5460s — at the wall; stop chasing.
best variant: variants/dp2_8s_fw_t0_64_2048  best=0.0900s (need <=0.0906s)  median=0.0940s vs champ 0.0940s  Δbest=0.0020s
  not both conditions met → HOLD champion (within noise, or only a lucky single sample).
verdict: STOP-FLOOR   (written to /tmp/pi_verdict)

== edge-case suite (champion) ==
edge: pass=9 fail=0

== compiler sweep (champion) ==
  g++        -O3 -march=native                  best=0.0930s
  g++        -Ofast -march=native -funroll-loops best=0.0910s
  g++-13     -O3 -march=native                  best=0.0900s
  g++-13     -Ofast -march=native -funroll-loops best=0.0910s
  clang++    -O3 -march=native                  best=0.0990s
  clang++    -Ofast -march=native -funroll-loops best=0.1040s
  → submit under: g++-13 -O3 -march=native   (champion best 0.0900s here)

== index.html (leaderboard view) ==
wrote index.html (champion=92.0 ms, 1.3× off the rank 18 bar — need 92.0 ms → 69.3 ms)

expected=53687387166542798  |  verdict=STOP-FLOOR 
loop: PROMOTE→copy candidate to champion/main.cpp & re-run; HOLD→make a bigger change; STOP-FLOOR→memory-bound, stop.
